Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sri Lanka,LKA,2023,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,33933490.62
Sri Lanka,LKA,2022,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,15133593.25
Sri Lanka,LKA,2021,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,17440715.28
Sri Lanka,LKA,2020,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,14542783.75
Sri Lanka,LKA,2019,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,77362783.75
Sri Lanka,LKA,2018,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,67856570.54
Sri Lanka,LKA,2017,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,71791375.69
Sri Lanka,LKA,2016,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,236808136.8
Sri Lanka,LKA,2015,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,52987324.45
Sri Lanka,LKA,2014,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,66823329.77
Sri Lanka,LKA,2013,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,65073329.77
Sri Lanka,LKA,2012,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,63925648.5
Sri Lanka,LKA,2011,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,60000000
Sri Lanka,LKA,2010,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,42500000
Sri Lanka,LKA,2009,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,20000000
Sri Lanka,LKA,2008,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,61700000
Sri Lanka,LKA,2007,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,55000000
Sri Lanka,LKA,2006,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,29300000
Sri Lanka,LKA,2005,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,38400000
Sri Lanka,LKA,2004,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5790000
Sri Lanka,LKA,2003,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,27310000
Sri Lanka,LKA,2002,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,11450000
Sri Lanka,LKA,2001,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1000
Sri Lanka,LKA,2000,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,2000000
Sri Lanka,LKA,1999,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,24000000
Sri Lanka,LKA,1998,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,13000000
Sri Lanka,LKA,1997,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5000000
Sri Lanka,LKA,1996,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,6918890
Sri Lanka,LKA,1995,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,5596670
Sri Lanka,LKA,1994,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,8255008.384
Sri Lanka,LKA,1993,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,6897766.624
Sri Lanka,LKA,1992,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1625404.506
Sri Lanka,LKA,1991,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,4523528.412
Sri Lanka,LKA,1990,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,822428.6891
Sri Lanka,LKA,1989,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,2039899.813
Sri Lanka,LKA,1988,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,2098879.356
Sri Lanka,LKA,1987,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1336332.308
Sri Lanka,LKA,1986,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,535246.9821
Sri Lanka,LKA,1985,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,1363306.765
Sri Lanka,LKA,1984,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
Sri Lanka,LKA,1983,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
Sri Lanka,LKA,1982,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
Sri Lanka,LKA,1981,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
Sri Lanka,LKA,1980,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
Sri Lanka,LKA,1979,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
Sri Lanka,LKA,1978,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
